patRIL	chamber	Pre	Learning	Memory	file
11006	9	-0.1067	0.9872	1.000	3.hbx
11006	12	1.000	0.7744	-0.1589	3.hbx
11006	13	-1.000	0.8700	1.000	3.hbx
11006	15	0.8000	0.9761	1.000	3.hbx
11006	0	-0.5600	0.8278	-0.3511	4.hbx
11006	2	1.000	0.9317	0.8700	4.hbx
11006	5	1.000	0.9128	0.9900	4.hbx
11006	6	-0.8000	0.8728	-0.1733	4.hbx
11006	8	0.8733	0.6150	-0.2222	4.hbx
11006	10	1.000	0.8700	0.9478	4.hbx
11006	15	0.2867	0.9439	0.07222	4.hbx
11008	0	0.006667	0.6533	1.000	1.hbx
11008	2	0.4600	0.9828	1.000	1.hbx
11008	4	-1.000	-0.9861	-0.8589	1.hbx
11008	5	-1.000	0.9172	1.000	1.hbx
11008	8	1.000	0.9506	0.8000	1.hbx
11008	9	-1.000	0.4444	1.000	1.hbx
11008	10	0.2933	0.9983	1.000	1.hbx
11008	11	0.5800	0.8828	0.9178	1.hbx
11008	12	0.7533	0.9694	1.000	1.hbx
11008	13	-0.7400	-0.8328	-1.000	1.hbx
11008	14	1.000	0.9794	0.9111	1.hbx
11008	15	0.2933	0.8672	0.4333	1.hbx
11008	0	0.1467	0.9678	0.1022	2.hbx
11008	2	0.7600	0.8950	1.000	2.hbx
11008	5	-1.000	0.8772	1.000	2.hbx
11008	6	1.000	0.9067	0.4656	2.hbx
11008	8	1.000	0.8622	0.2956	2.hbx
11008	9	-1.000	0.9450	1.000	2.hbx
11008	11	1.000	0.9983	1.000	2.hbx
11008	12	0.3933	0.8228	1.000	2.hbx
11008	13	1.000	0.9317	1.000	2.hbx
11008	14	0.4800	0.9150	0.01444	2.hbx
11008	15	-0.1200	0.6561	-0.1211	2.hbx
11008	2	0.8733	0.9194	0.7944	3.hbx
11008	5	-1.000	0.8494	-0.01667	3.hbx
11008	6	-0.8333	0.9278	0.6200	3.hbx
11008	9	-0.4600	0.7733	-0.8456	3.hbx
11008	10	1.000	0.9583	0.8822	3.hbx
11008	11	-0.5933	0.6167	1.000	3.hbx
11008	13	1.000	-0.1178	-1.000	3.hbx
11008	14	-0.1733	0.9689	0.9044	3.hbx
11008	15	0.7200	0.7717	0.8500	3.hbx
11008	0	0.1733	0.8644	1.000	4.hbx
11008	2	-0.03333	0.8328	0.6067	4.hbx
11008	4	-0.4533	0.8356	0.9578	4.hbx
11008	5	0.1600	0.7422	0.8478	4.hbx
11008	6	0.3067	0.7889	0.2867	4.hbx
11008	8	-1.000	0.9283	0.5011	4.hbx
11008	9	-0.1533	0.6494	-0.3089	4.hbx
11008	10	0.9000	0.8228	0.9889	4.hbx
11008	11	0.1133	0.6778	0.2922	4.hbx
11008	12	0.03333	0.7333	0.4822	4.hbx
11008	13	-0.4133	0.8572	1.000	4.hbx
11008	14	0.3000	0.6756	0.1000	4.hbx
11008	15	-0.4067	0.2328	0.3400	4.hbx
11008	2	1.000	0.9806	0.3211	6.hbx
11008	5	0.8867	0.7650	0.04778	6.hbx
11008	6	0.2267	0.8161	0.4756	6.hbx
11008	8	-0.08000	0.8622	-0.02222	6.hbx
11008	9	-0.6267	0.8867	1.000	6.hbx
11008	11	1.000	0.9961	1.000	6.hbx
11008	12	0.4333	0.7911	0.07000	6.hbx
11008	14	0.04667	0.9283	0.9756	6.hbx
11008	15	-0.1533	0.9522	0.5022	6.hbx
11008	0	0.2733	0.8528	0.4478	5.hbx
11008	2	0.04000	0.8661	0.7000	5.hbx
11008	4	-0.1267	0.7967	0.3989	5.hbx
11008	5	0.04667	0.8900	1.000	5.hbx
11008	6	0.2333	0.7006	0.0000	5.hbx
11008	8	-0.3800	0.7844	-0.2144	5.hbx
11008	9	0.2600	0.5583	0.1522	5.hbx
11008	10	0.8200	0.7622	-0.1933	5.hbx
11008	11	-0.1067	-0.7733	-1.000	5.hbx
11008	12	0.2133	0.8022	0.2511	5.hbx
11008	13	-0.05333	0.8572	0.2689	5.hbx
11008	14	0.3600	0.8333	0.7067	5.hbx
11008	15	0.4267	0.8017	-0.1344	5.hbx
11009	0	0.2333	0.9361	0.7456	1.hbx
11009	2	-1.000	0.9228	1.000	1.hbx
11009	4	0.8267	0.9544	1.000	1.hbx
11009	7	1.000	0.8933	1.000	1.hbx
11009	8	0.9800	0.9383	1.000	1.hbx
11009	10	0.1333	0.9206	0.6478	1.hbx
11009	11	1.000	0.9900	1.000	1.hbx
11009	12	1.000	0.9922	1.000	1.hbx
11009	14	0.1600	0.8261	1.000	1.hbx
11009	15	-0.006667	0.9128	-0.08111	1.hbx
11009	0	0.006667	0.8822	1.000	2.hbx
11009	1	-1.000	0.9617	1.000	2.hbx
11009	2	-0.6733	0.9861	1.000	2.hbx
11009	9	-1.000	0.8517	1.000	2.hbx
